ticker,name,market,sector,market_cap,total_score,grade,growth_score,sector_score,momentum_score,value_score,d_eps_growth,d_revenue_cagr,d_operating_margin,d_sector_flow,d_analyst_reports,d_news_multiplier,d_volume_multiplier,d_week52_position,d_institutional_buying,d_forward_peg,d_pbr_ratio,raw_eps_growth_pct,raw_revenue_cagr_pct,raw_operating_margin_trend,raw_volume_multiplier,raw_week52_position_pct,raw_institutional_buying,raw_pbr_vs_sector,raw_forward_peg,raw_sector_flow,raw_analyst_count,raw_news_multiplier,last_updated
357550,석경에이티,"market    KOSDAQ
market       KSQ
Name: 1018, dtype: object",,1680.14,0,제외,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.56,40.44,,,,,0,,2026-09-21 13:48:20
489460,바이오비쥬,"market    KOSDAQ
market       KSQ
Name: 1020, dtype: object",,1675.9734032,0,제외,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.42,61.9,,,,,0,,2026-09-21 13:48:22
118990,모트렉스,"market    KOSDAQ
market       KSQ
Name: 1021, dtype: object",,1673.4487022,0,제외,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.83,59.29,,,,,0,,2026-09-21 13:48:22
245620,EDGC,"market    KOSDAQ
market       KSQ
Name: 1022, dtype: object",,1671.18555474,0,제외,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,,2026-09-21 13:48:24
122990,와이솔,"market    KOSDAQ
market       KSQ
Name: 1023, dtype: object",,1669.6899429,0,제외,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.98,70.02,,,,,0,,2026-09-21 13:48:25
104480,티케이케미칼,"market    KOSDAQ
market       KSQ
Name: 1024, dtype: object",,1667.9312139,0,제외,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.17,63.29,,,,,0,,2026-09-21 13:48:26
038390,레드캡투어,"market    KOSDAQ
market       KSQ
Name: 1025, dtype: object",,1665.3938712,0,제외,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.58,75.02,,,,,0,,2026-09-21 13:48:26
012860,모베이스전자,"market    KOSDAQ
market       KSQ
Name: 1026, dtype: object",,1662.3994739,0,제외,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.82,32.39,,,,,0,,2026-09-21 13:48:28
204610,티쓰리,"market    KOSDAQ
market       KSQ
Name: 1027, dtype: object",,1655.068734,0,제외,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.99,78.0,,,,,0,,2026-09-21 13:48:29
950140,잉글우드랩,"market    KOSDAQ
market       KSQ
Name: 1029, dtype: object",,1653.0064512,0,제외,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.25,48.91,,,,,0,,2026-09-21 13:48:32
080160,모두투어,"market    KOSDAQ
market       KSQ
Name: 1030, dtype: object",,1646.19,0,제외,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.48,50.06,,,,,0,,2026-09-21 13:48:33
086820,바이오솔루션,"market    KOSDAQ
market       KSQ
Name: 1031, dtype: object",,1646.1793975,0,제외,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.51,47.73,,,,,0,,2026-09-21 13:48:35
355150,코스텍시스,"market    KOSDAQ
market       KSQ
Name: 1033, dtype: object",,1637.4435,0,제외,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.16,33.15,,,,,0,,2026-09-21 13:48:37
